number,code,Type
1,"def solve_grasshopper_recursive(costs):
    n = len(costs)
    memo = {}
    path = {}
    def hop(idx):
        if idx >= n:
            return 0, []
        if idx in memo:
            return memo[idx]
        cost1, path1 = hop(idx + 1)
        cost2, path2 = hop(idx + 2)
        if cost1 + costs[idx] < cost2 + costs[idx]:
            memo[idx] = cost1 + costs[idx], [idx + 1] + path1
            return memo[idx]
        else:
            memo[idx] = cost2 + costs[idx], [idx + 2] + path2
            return memo[idx]
    result_cost, result_path = hop(0)
    return result_cost, [i + 1 for i in result_path]",Grasshopper
2,"def solve_grasshopper_iterative(costs):
    n = len(costs)
    dp = [0] * n
    path = [[] for _ in range(n)]
    dp[0] = costs[0]
    path[0] = [1]
    if n > 1:
        dp[1] = costs[1]
        path[1] = [2]
        for i in range(2, n):
            if dp[i - 1] + costs[i] < dp[i - 2] + costs[i]:
                dp[i] = dp[i - 1] + costs[i]
                path[i] = [i + 1] + path[i - 1]
            else:
                dp[i] = dp[i - 2] + costs[i]
                path[i] = [i + 1] + path[i - 2]
    return dp[n - 1], path[n - 1]",Grasshopper
3,"def solve_grasshopper_rolling_array(costs):
    n = len(costs)
    if n < 3:
        return sum(costs), list(range(1, n + 1))
    dp = [0, costs[0], costs[1]]
    prev = [0, 1, 1]
    for i in range(2, n):
        if dp[1] + costs[i] < dp[2] + costs[i]:
            dp[0] = dp[1] + costs[i]
            prev[0] = 1
        else:
            dp[0] = dp[2] + costs[i]
            prev[0] = 2
        dp[1] = dp[0]
        dp[2] = dp[1]
    path = []
    index = n - 1
    while index >= 0:
        path.insert(0, index + 1)
        if prev[0] == 1:
            index -= 1
        else:
            index -= 2
    return dp[0], path",Grasshopper
4,"def solve_grasshopper_in_place(costs):
    n = len(costs)
    for i in range(2, n):
        if costs[i - 1] < costs[i - 2]:
            costs[i] += costs[i - 1]
        else:
            costs[i] += costs[i - 2]
    path = []
    i = n - 1
    while i >= 0:
        path.insert(0, i + 1)
        if i > 1 and costs[i - 1] < costs[i - 2]:
            i -= 1
        else:
            i -= 2
    return costs[n-1], path",Grasshopper
5,"def solve_grasshopper_parent_pointers(costs):
    n = len(costs)
    dp = [float('inf')] * n
    parent = [None] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    for i in range(2, n):
        if dp[i - 1] + costs[i] < dp[i - 2] + costs[i]:
            dp[i] = dp[i - 1] + costs[i]
            parent[i] = i - 1
        else:
            dp[i] = dp[i - 2] + costs[i]
            parent[i] = i - 2
    path = []
    curr = n - 1
    while curr is not None:
        path.insert(0, curr + 1)
        curr = parent[curr]
    return dp[n - 1], path",Grasshopper
6,"def solve_grasshopper_generator(costs):
    def jumps(index):
        if index >= len(costs):
            yield (0, [])
        else:
            for next_index in [index + 1, index + 2]:
                for cost, path in jumps(next_index):
                    yield (cost + costs[index], [index + 1] + path)
    best_cost = float('inf')
    best_path = []
    for cost, path in jumps(0):
        if cost < best_cost:
            best_cost = cost
            best_path = path
    return best_cost, best_path",Grasshopper
7,"from functools import reduce
def solve_grasshopper_reduce(costs):
    n = len(costs)
    dp = reduce(lambda acc, i: acc + [min(acc[-1] + costs[i], acc[-2] + costs[i])], range(2, n), [costs[0], costs[1]])
    path = []
    i = n - 1
    while i >= 0:
        path.insert(0, i + 1)
        if i > 1 and dp[i-1] < dp[i-2]:
            i -= 1
        else:
            i -= 2
    return dp[n-1], path",Grasshopper
8,"import numpy as np
def solve_grasshopper_numpy(costs):
    n = len(costs)
    dp = np.zeros(n)
    dp[0] = costs[0]
    if n > 1:
        dp[1] = costs[1]
        for i in range(2, n):
            dp[i] = min(dp[i-1], dp[i-2]) + costs[i]
    path = []
    i = n - 1
    while i >= 0:
        path.insert(0, i + 1)
        if i > 1 and dp[i-1] < dp[i-2]:
            i -= 1
        else:
            i -= 2
    return dp[n-1], path",Grasshopper
9,"def solve_grasshopper_early_exit(costs):
    n = len(costs)
    if n < 3:
        return sum(costs), list(range(1, n + 1))
    dp = [0] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    for i in range(2, n):
        dp[i] = min(dp[i-1], dp[i-2]) + costs[i]
    path = []
    i = n - 1
    while i >= 0:
        path.insert(0, i + 1)
        if i > 1 and dp[i-1] < dp[i-2]:
            i -= 1
        else:
            i -= 2
    return dp[n-1], path",Grasshopper
10,"def solve_grasshopper_parallel(costs):
    n = len(costs)
    if n < 3:
        return sum(costs), list(range(1, n + 1))
    dp = [0] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    for i in range(2, n):
        dp[i] = min(dp[i - 1] + costs[i], dp[i - 2] + costs[i])
    path = []
    i = n - 1
    while i >= 0:
        path.insert(0, i + 1)
        if i > 1 and dp[i - 1] + costs[i] < dp[i - 2] + costs[i]:
            i -= 1
        else:
            i -= 2
    return dp[n-1], path",Grasshopper
11,"def grasshopper_dp_memo(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    dp = {}
    path = {}
    def solve(idx):
        if idx == n - 1:
            return costs[idx], [idx + 1]
        if idx in dp:
            return dp[idx]
        jump1_cost, jump1_path = solve(idx + 1)
        jump2_cost, jump2_path = solve(idx + 2)
        if jump1_cost < jump2_cost:
            dp[idx] = costs[idx] + jump1_cost, [idx + 1] + jump1_path
            path[idx] = idx + 1
        else:
            dp[idx] = costs[idx] + jump2_cost, [idx + 1] + jump2_path
            path[idx] = idx + 2
        return dp[idx]
    total_cost, route = solve(0)
    return total_cost, route",Grasshopper
12,"def grasshopper_dp_iterative(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    dp = [0] * n
    path = [0] * n
    dp[0] = costs[0]
    dp[1] = costs[1]
    path[1] = 1
    for i in range(2, n):
        if dp[i-1] < dp[i-2]:
            dp[i] = costs[i] + dp[i-1]
            path[i] = i - 1
        else:
            dp[i] = costs[i] + dp[i-2]
            path[i] = i - 2
    route = [n]
    curr = n - 1
    while curr != 0:
      route.insert(0, curr + 1)
      curr = path[curr]
    if len(costs) == 1:
      return costs[0], [1]
    return dp[n-1], route",Grasshopper
13,"def grasshopper_dp_rolling(costs):
    n = len(costs)
    if n < 3:
        return costs[-1], [1, n]
    prev2 = costs[0]
    prev1 = costs[1]
    for i in range(2, n):
        curr = costs[i] + min(prev1, prev2)
        prev2 = prev1
        prev1 = curr
    route = [n]
    curr = n - 1
    if n >= 3:
      while curr != 0:
        if curr == 0:
          break
        if curr == 1:
          route.insert(0, 1)
          break
        if costs[curr-1] + prev2 < costs[curr-2] + prev2:
          route.insert(0, curr)       
          curr -= 1
        else:
          route.insert(0, curr)
          curr -= 2
    elif n == 2:
      route = [1,2]
    elif n == 1:
      route = [1]
    return prev1, route",Grasshopper
