number,code
1,"from collections import deque
def bfs(graph, start_node):
    visited = set()
    queue = deque([start_node])
    visited.add(start_node)
    while queue:
        node = queue.popleft()
        yield node
        for neighbor in graph.get(node, []):
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)"
2,"def bfs(graph, start_node):
    visited = set()
    queue = [start_node]
    visited.add(start_node)
    while queue:
        node = queue.pop(0)
        yield node
        for neighbor in graph.get(node, []):
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)"
3,"def bfs(graph, start_node):
    if not graph or start_node not in graph:
        return
    visited = {start_node}
    queue = [start_node]
    while queue:
        node = queue.pop(0)
        yield node
        for neighbor in graph[node]:
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)"
4,"def bfs(adj_matrix, start_node):
    n = len(adj_matrix)
    visited = [False] * n
    queue = [start_node]
    visited[start_node] = True
    while queue:
        node = queue.pop(0)
        yield node
        for neighbor in range(n):
            if adj_matrix[node][neighbor] == 1 and not visited[neighbor]:
                visited[neighbor] = True
                queue.append(neighbor)"
5,"from collections import deque
def bfs(graph, start_node):
    if not graph:
        return
    visited = set()
    queue = deque([start_node])
    visited.add(start_node)
    result = []
    while queue:
        node = queue.popleft()
        result.append(node)
        for neighbor in graph.get(node, []):
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)
    return result"
6,"def bfs(graph, start_node):
    visited = set()
    queue = [start_node]
    visited.add(start_node)
    while queue:
        node = queue.pop(0)
        yield node
        neighbors = graph.get(node, [])
        for neighbor in neighbors:
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)"
7,"def bfs(graph, start_node):
    if start_node not in graph:
        return
    visited = {start_node}
    queue = [start_node]
    while queue:
        node = queue.pop(0)
        yield node
        for neighbor in graph.get(node, []):
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)"
8,"def bfs(adj_matrix, start_node):
    n = len(adj_matrix)
    visited = [False] * n
    queue = [start_node]
    visited[start_node] = True
    result = []
    while queue:
        node = queue.pop(0)
        result.append(node)
        for neighbor in range(n):
            if adj_matrix[node][neighbor] == 1 and not visited[neighbor]:
                visited[neighbor] = True
                queue.append(neighbor)
    return result"
9,"from collections import deque
def bfs(graph, start_node):
    if not graph or start_node is None:
        return
    visited = set()
    queue = deque([start_node])
    visited.add(start_node)
    while queue:
        node = queue.popleft()
        yield node
        for neighbor in graph.get(node, []):
            if neighbor is not None and neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)"
10,"def bfs(graph, start_node):
    if not graph:
        return []
    visited = set()
    queue = [start_node]
    visited.add(start_node)
    result = []
    while queue:
        node = queue.pop(0)
        result.append(node)
        for neighbor in graph.get(node, []):
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)
    return result"
