number,code
1,"import heapq
def dijkstra_heapq(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances"
2,"import heapq
class BinaryHeap:
    def __init__(self):
        self.heap = []
    def push(self, item):
        heapq.heappush(self.heap, item)
    def pop(self):
        return heapq.heappop(self.heap)
    def __len__(self):
        return len(self.heap)
def dijkstra_binary_heap(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = BinaryHeap()
    pq.push((0, start))
    while len(pq) > 0:
        dist, node = pq.pop()
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                pq.push((distances[neighbor], neighbor))
    return distances"
3,"def dijkstra_generator(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = min(pq)
        pq.remove((dist, node))
        if dist > distances[node]:
            continue
        yield from ((neighbor, distances[node] + weight) for neighbor, weight in graph[node].items() if distances[neighbor] > distances[node] + weight)
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                pq.append((distances[neighbor], neighbor))"
4,"from functools import reduce
def dijkstra_functional(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    return reduce(lambda dists, node: {n: min(dists[n], dists[node] + graph[node].get(n, float('inf'))) for n in nodes} , nodes, distances)"
5,"def dijkstra_adj_matrix(graph, start):
    n = len(graph)
    distances = [float('inf')] * n
    distances[start] = 0
    visited = [False] * n
    for _ in range(n):
        min_dist = float('inf')
        min_node = -1
        for v in range(n):
            if not visited[v] and distances[v] < min_dist:
                min_dist = distances[v]
                min_node = v
        if min_node == -1:
            break
        visited[min_node] = True
        for v in range(n):
            if graph[min_node][v] != 0 and distances[v] > distances[min_node] + graph[min_node][v]:
                distances[v] = distances[min_node] + graph[min_node][v]
    return distances"
6,"def dijkstra_adj_list(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    unvisited = list(graph.keys())
    while unvisited:
        current = min(unvisited, key=distances.get)
        unvisited.remove(current)
        for neighbor, weight in graph[current].items():
            new_dist = distances[current] + weight
            if new_dist < distances[neighbor]:
                distances[neighbor] = new_dist
    return distances"
7,"import heapq
def dijkstra_negative_check(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if weight < 0:
                raise ValueError(""Negative edge weights found"")
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances"
8,"def dijkstra_unreachable(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = min(pq)
        pq.remove((dist, node))
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                pq.append((distances[neighbor], neighbor))
    reachable = {node for node, dist in distances.items() if dist != float('inf')}
    return distances"
9,"import heapq
def dijkstra_complex_pq(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start, 0)]
    seen = set()
    while pq:
        dist, node, count = heapq.heappop(pq)
        if (node, count) in seen:
            continue
        seen.add((node, count))
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor, count+1))
    return distances"
10,"def dijkstra_lazy(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    while True:
        min_dist = float('inf')
        min_node = None
        for node in nodes:
            if distances[node] < min_dist:
                min_dist = distances[node]
                min_node = node
        if min_node is None:
            break
        for neighbor, weight in graph[min_node].items():
            if distances[neighbor] > distances[min_node] + weight:
                distances[neighbor] = distances[min_node] + weight
    return distances"
11,"import heapq
def dijkstra1(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances"
12,"import heapq
def dijkstra2(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    visited = set()
    while pq:
        dist, node = heapq.heappop(pq)
        if node in visited:
            continue
        visited.add(node)
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances"
13,"import heapq
def dijkstra3(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        yield distances[node]
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))"
14,"from functools import reduce
def dijkstra4(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    return reduce(lambda dists, node: {n: min(dists[n], dists[node] + graph[node].get(n, float('inf'))) for n in nodes}, nodes, distances)"
15,"import heapq
def dijkstra5(adj_matrix, start):
    n = len(adj_matrix)
    distances = [float('inf')] * n
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor in range(n):
            weight = adj_matrix[node][neighbor]
            if weight > 0 and distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances"
16,"class BinaryHeap:
    def __init__(self):
        self.heap = []
    def push(self, item):
        self.heap.append(item)
        self._heapify_up(len(self.heap) - 1)
    def pop(self):
        if not self.heap:
            return None
        if len(self.heap) == 1:
            return self.heap.pop()
        root = self.heap[0]
        self.heap[0] = self.heap.pop()
        self._heapify_down(0)
        return root
    def _heapify_up(self, index):
        while index > 0:
            parent_index = (index - 1) // 2
            if self.heap[index][0] < self.heap[parent_index][0]:
                self.heap[index], self.heap[parent_index] = self.heap[parent_index], self.heap[index]
                index = parent_index
            else:
                break
    def _heapify_down(self, index):
        while True:
            left_child_index = 2 * index + 1
            right_child_index = 2 * index + 2
            smallest = index
            if left_child_index < len(self.heap) and self.heap[left_child_index][0] < self.heap[smallest][0]:
                smallest = left_child_index
            if right_child_index < len(self.heap) and self.heap[right_child_index][0] < self.heap[smallest][0]:
                smallest = right_child_index
            if smallest != index:
                self.heap[index], self.heap[smallest] = self.heap[smallest], self.heap[index]
                index = smallest
            else:
                break
def dijkstra6(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = BinaryHeap()
    pq.push((0, start))
    while not pq.heap:
        dist, node = pq.pop()
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                pq.push((distances[neighbor], neighbor))
    return distances"
17,"def dijkstra7(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    unvisited = set(graph.keys())
    while unvisited:
        current_node = None
        for node in unvisited:
            if current_node is None or distances[node] < distances[current_node]:
                current_node = node
        if current_node is None:
            break
        unvisited.remove(current_node)
        for neighbor, weight in graph[current_node].items():
            if distances[current_node] + weight < distances[neighbor]:
                distances[neighbor] = distances[current_node] + weight
    return distances"
18,"def dijkstra8(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for _ in range(len(graph)):
        for node in graph:
            for neighbor, weight in graph[node].items():
                if distances[node] != float('inf') and distances[node] + weight < distances[neighbor]:
                    distances[neighbor] = distances[node] + weight
    return distances"
19,"def dijkstra9(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for node in graph:
        if any(weight < 0 for weight in graph[node].values()):
            raise ValueError(""Negative edge weights not allowed"")
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances"
