number,code
1,"def prefix_function_1(sequence):
    pi = [0] * len(sequence)
    k = 0
    for q in range(1, len(sequence)):
        while k > 0 and sequence[k] != sequence[q]:
            k = pi[k-1]
        if sequence[k] == sequence[q]:
            k += 1
        pi[q] = k
    return pi"
2,"def prefix_function_2(pattern):
    length = len(pattern)
    border = [0] * length
    i = 1
    j = 0
    while i < length:
        if pattern[i] == pattern[j]:
            j += 1
            border[i] = j
            i += 1
        else:
            if j > 0:
                j = border[j-1]
            else:
                i += 1
    return border"
3,"def prefix_function_3(text):
    n = len(text)
    overlaps = [0] * n
    for i in range(1, n):
        for j in range(i, 0, -1):
            if text[:j] == text[i-j+1:i+1]:
                overlaps[i] = j
                break
    return overlaps"
4,"def prefix_function_4(string):
    arr = [0] * len(string)
    for idx in range(1, len(string)):
        val = arr[idx-1]
        while val > 0 and string[idx] != string[val]:
            val = arr[val-1]
        if string[idx] == string[val]:
            val += 1
        arr[idx] = val
    return arr"
5,"def prefix_function_5(s):
    n = len(s)
    pi_arr = [0] * n
    k = 0
    i = 1
    while i < n:
        if s[i] == s[k]:
            k += 1
            pi_arr[i] = k
            i += 1
        else:
            if k != 0:
                k = pi_arr[k-1]
            else:
                pi_arr[i] = 0
                i += 1
    return pi_arr"
6,"def prefix_function_6(seq):
    n = len(seq)
    p = [0] * n
    for i in range(1, n):
        j = p[i-1]
        while j > 0 and seq[i] != seq[j]:
            j = p[j-1]
        if seq[i] == seq[j]:
            j += 1
        p[i] = j
    return p"
7,"def prefix_function_7(pattern_str):
    n = len(pattern_str)
    pi = [0] * n
    for i in range(1, n):
        length = pi[i - 1]
        while length > 0 and pattern_str[i] != pattern_str[length]:
            length = pi[length - 1]
        if pattern_str[i] == pattern_str[length]:
            length += 1
        pi[i] = length
    return pi"
8,"def prefix_function_8(txt):
    length_txt = len(txt)
    arr_pi = [0] * length_txt
    current_length = 0
    for i in range(1, length_txt):
        while current_length > 0 and txt[i] != txt[current_length]:
            current_length = arr_pi[current_length - 1]
        if txt[i] == txt[current_length]:
            current_length += 1
        arr_pi[i] = current_length
    return arr_pi"
9,"def prefix_function_9(strng):
    n = len(strng)
    pi_val = [0] * n
    for i in range(1, n):
        j = 0
        while j < i:
            if strng[:j+1] == strng[i-j:i+1]:
                pi_val[i] = j + 1
            j += 1
    return pi_val"
10,"def prefix_function_10(s):
  n = len(s)
  pi = [0] * n
  for i in range(1, n):
    j = pi[i-1]
    while j > 0 and s[i] != s[j]:
      j = pi[j-1]
    if s[i] == s[j]:
      j += 1
    pi[i] = j
  return pi"
