number,code
1,"def turtle_dp_recursive_memo(grid):
    n = len(grid)
    if n == 0: return 0, """"
    m = len(grid[0])
    if m == 0: return 0, """"
    memo = {}
    def solve(row, col):
        if (row, col) in memo: return memo[(row, col)]
        if row == n - 1 and col == m - 1: return grid[row][col], """"
        if row >= n or col >= m: return float('inf'), """"
        down_cost, down_path = solve(row + 1, col)
        right_cost, right_path = solve(row, col + 1)
        if down_cost < right_cost:
            memo[(row, col)] = grid[row][col] + down_cost, ""D"" + down_path
        else:
            memo[(row, col)] = grid[row][col] + right_cost, ""R"" + right_path
        return memo[(row, col)]
    return solve(0, 0)"
2,"def turtle_dp_iterative(cost_matrix):
    rows = len(cost_matrix)
    if rows == 0: return 0, """"
    cols = len(cost_matrix[0])
    if cols == 0: return 0, """"
    dp = [[0] * cols for _ in range(rows)]
    path = [[''] * cols for _ in range(rows)]
    dp[0][0] = cost_matrix[0][0]
    for i in range(rows):
        for j in range(cols):
            if i == 0 and j == 0: continue
            up = dp[i-1][j] if i > 0 else float('inf')
            left = dp[i][j-1] if j > 0 else float('inf')
            if up < left:
                dp[i][j] = cost_matrix[i][j] + up
                path[i][j] = 'D'
            else:
                dp[i][j] = cost_matrix[i][j] + left
                path[i][j] = 'R'
    result = """"
    i, j = rows - 1, cols - 1
    while i > 0 or j > 0:
        result = path[i][j] + result
        if path[i][j] == 'D':
            i -= 1
        else:
            j -= 1
    return dp[rows - 1][cols - 1], result"
3,"def turtle_dp_rolling_array(prices):
    n = len(prices)
    if n == 0: return 0, """"
    m = len(prices[0])
    if m == 0: return 0, """"
    dp = [0] * m
    path = [''] * m
    for i in range(n):
        prev = 0
        prev_path = ''
        for j in range(m):
            up = dp[j]
            left = prev if j > 0 else float('inf')
            if up < left:
                dp[j] = prices[i][j] + up
                path[j] = 'D'
            else:
                dp[j] = prices[i][j] + left
                path[j] = 'R'
            prev = dp[j]
            prev_path = path[j]
    result = """"
    j = m - 1
    i = n - 1
    while i > 0 or j > 0:
        result = path[j] + result
        if path[j] == 'D':
            i -= 1
        else:
            j -= 1
    return dp[m - 1], result"
4,"def turtle_dp_in_place(cost_grid):
    n = len(cost_grid)
    if n == 0: return 0, """"
    m = len(cost_grid[0])
    if m == 0: return 0, """"
    for i in range(n):
        for j in range(m):
            if i == 0 and j == 0: continue
            if i > 0 and j > 0:
                cost_grid[i][j] += min(cost_grid[i-1][j], cost_grid[i][j-1])
            elif i > 0:
                cost_grid[i][j] += cost_grid[i-1][j]
            else:
                cost_grid[i][j] += cost_grid[i][j-1]
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and j > 0 and cost_grid[i-1][j] <= cost_grid[i][j-1]:
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return cost_grid[n-1][m-1], path"
5,"def turtle_dp_parent_pointers(matrix):
    rows = len(matrix)
    if rows == 0: return 0, """"
    cols = len(matrix[0])
    if cols == 0: return 0, """"
    dp = [[0] * cols for _ in range(rows)]
    parent = [[None] * cols for _ in range(rows)]
    dp[0][0] = matrix[0][0]
    for i in range(rows):
        for j in range(cols):
            if i == 0 and j == 0: continue
            if i > 0 and j > 0:
                if dp[i-1][j] < dp[i][j-1]:
                    dp[i][j] = matrix[i][j] + dp[i-1][j]
                    parent[i][j] = (i-1, j)
                else:
                    dp[i][j] = matrix[i][j] + dp[i][j-1]
                    parent[i][j] = (i, j-1)
            elif i > 0:
                dp[i][j] = matrix[i][j] + dp[i-1][j]
                parent[i][j] = (i-1, j)
            else:
                dp[i][j] = matrix[i][j] + dp[i][j-1]
                parent[i][j] = (i, j-1)
    path = """"
    i, j = rows - 1, cols - 1
    while i != 0 or j != 0:
        if parent[i][j] == (i-1, j):
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return dp[rows-1][cols-1], path"
6,"def turtle_dp_generator(grid_data):
    n = len(grid_data)
    if n == 0: return 0, """"
    m = len(grid_data[0])
    if m == 0: return 0, """"
    def path_generator(row, col):
        if row == n - 1 and col == m - 1:
            yield """"
            return
        if row + 1 < n:
            for path in path_generator(row + 1, col):
                yield ""D"" + path
        if col + 1 < m:
            for path in path_generator(row, col + 1):
                yield ""R"" + path
    min_cost = float('inf')
    min_path = """"
    for path in path_generator(0, 0):
        cost = 0
        r, c = 0, 0
        for move in path:
            cost += grid_data[r][c]
            if move == 'D':
                r += 1
            else:
                c += 1
        cost += grid_data[r][c]
        if cost < min_cost:
            min_cost = cost
            min_path = path
    return min_cost, min_path"
7,"from functools import reduce
def turtle_dp_reduce(cost_grid):
    n = len(cost_grid)
    if n == 0: return 0, """"
    m = len(cost_grid[0])
    if m == 0: return 0, """"
    dp = reduce(lambda acc, i: acc + [reduce(lambda acc2, j: acc2 + [cost_grid[i][j] + (acc[i-1][j] if i > 0 else 0) + (acc[i][j-1] if j > 0 else 0)], [0] * m, 0)], [0] * n, [])
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and (j == 0 or dp[i - 1][j] <= dp[i][j - 1]):
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return dp[n-1][m-1], path"
8,"import numpy as np
def turtle_dp_numpy(grid):
    grid = np.array(grid)
    n, m = grid.shape
    if n == 0 or m == 0: return 0, """"
    dp = np.zeros((n, m), dtype=int)
    dp[0, 0] = grid[0, 0]
    for i in range(n):
        for j in range(m):
            if i == 0 and j == 0: continue
            dp[i, j] = grid[i, j] + min(dp[i-1, j] if i > 0 else float('inf'),
                                        dp[i, j-1] if j > 0 else float('inf'))
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and dp[i-1, j] <= dp[i, j-1]:
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return dp[n-1, m-1], path"
9,"def turtle_dp_early_exit(costs):
    n = len(costs)
    if n == 0: return 0, """"
    m = len(costs[0])
    if m == 0: return 0, """"
    dp = [[float('inf')] * m for _ in range(n)]
    dp[0][0] = costs[0][0]
    for i in range(n):
        for j in range(m):
            if dp[i][j] == float('inf'): continue
            if i + 1 < n:
                dp[i+1][j] = min(dp[i+1][j], dp[i][j] + costs[i+1][j])
            if j + 1 < m:
                dp[i][j+1] = min(dp[i][j+1], dp[i][j] + costs[i][j+1])
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and (j == 0 or dp[i-1][j] <= dp[i][j-1]):
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return dp[n-1][m-1], path"
10,"import multiprocessing
def turtle_dp_parallel(grid):
    n = len(grid)
    if n == 0: return 0, """"
    m = len(grid[0])
    if m == 0: return 0, """"
    dp = [[0] * m for _ in range(n)]
    dp[0][0] = grid[0][0]
    for i in range(1, n):
        dp[i][0] = dp[i-1][0] + grid[i][0]
    def process_row(i):
        for j in range(1, m):
            dp[i][j] = grid[i][j] + min(dp[i-1][j], dp[i][j-1])
    with multiprocessing.Pool() as pool:
        pool.map(process_row, range(1, n))
    path = """"
    i, j = n - 1, m - 1
    while i > 0 or j > 0:
        if i > 0 and (j == 0 or dp[i-1][j] <= dp[i][j-1]):
            path = ""D"" + path
            i -= 1
        else:
            path = ""R"" + path
            j -= 1
    return dp[n-1][m-1], path"
