number,code
1,"def z_array_classic(text):
    length = len(text)
    z_values = [0] * length
    left = 0
    right = 0
    for k in range(1, length):
        if k > right:
            left = right = k
            while right < length and text[right - left] == text[right]:
                right += 1
            z_values[k] = right - left
            right -= 1
        else:
            k1 = k - left
            if z_values[k1] < right - k + 1:
                z_values[k] = z_values[k1]
            else:
                left = k
                while right < length and text[right - left] == text[right]:
                    right += 1
                z_values[k] = right - left
                right -= 1
    return z_values"
2,"def z_array_slicing(string):
    n = len(string)
    z_arr = [0] * n
    for i in range(1, n):
        for j in range(n - i):
            if string[j:j+i] == string[0:i]:
                z_arr[i] = i
                break
    return z_arr"
3,"def z_array_generator(pattern):
    length = len(pattern)
    yield 0
    for i in range(1, length):
        yield max(j for j in range(1, length - i + 1) if pattern[i:i+j] == pattern[:j])"
4,"def z_array_recursive(text_str, index, left_bound, right_bound, z_values):
    n = len(text_str)
    if index == n:
        return z_values
    if index > right_bound:
        left_bound = right_bound = index
        while right_bound < n and text_str[right_bound - left_bound] == text_str[right_bound]:
            right_bound += 1
        z_values[index] = right_bound - left_bound
        right_bound -= 1
    else:
        k = index - left_bound
        if z_values[k] < right_bound - index + 1:
            z_values[index] = z_values[k]
        else:
            left_bound = index
            while right_bound < n and text_str[right_bound - left_bound] == text_str[right_bound]:
                right_bound += 1
            z_values[index] = right_bound - left_bound
            right_bound -= 1
    return z_array_recursive(text_str, index + 1, left_bound, right_bound, z_values)"
5,"def z_array_comprehension(seq):
    length = len(seq)
    return [max(j for j in range(1, length - i + 1) if seq[i:i+j] == seq[:j]) for i in range(length)]"
6,"def z_array_bitwise(data):
    n = len(data)
    z = [0] * n
    l, r = 0, 0
    for i in range(1, n):
        if i <= r:
            k = i - l
            z[i] = min(r - i + 1, z[k])
        while i + z[i] < n and data[z[i]] == data[i + z[i]]:
            z[i] += 1
        if i + z[i] - 1 > r:
            l = i
            r = i + z[i] - 1
    return z"
7,"def z_array_functional(string_data):
    n = len(string_data)
    z_values = [0] * n
    def calculate_z(index, left, right):
        if index > right:
            new_left = new_right = index
            while new_right < n and string_data[new_right - new_left] == string_data[new_right]:
                new_right += 1
            return new_left, new_right, new_right - new_left
        else:
            k = index - left
            if z_values[k] < right - index + 1:
                return left, right, z_values[k]
            else:
                new_left = index
                while right < n and string_data[right - new_left] == string_data[right]:
                    right += 1
                return new_left, right, right - new_left
    left, right = 0, 0
    for i in range(1, n):
        left, right, z_values[i] = calculate_z(i, left, right)
    return z_values"
8,"def z_array_iterative(text_input):
    length = len(text_input)
    z_arr = [0] * length
    l = 0
    r = 0
    for i in range(1, length):
        if i <= r:
            k = i - l
            z_arr[i] = min(r - i + 1, z_arr[k])
        while i + z_arr[i] < length and text_input[z_arr[i]] == text_input[i + z_arr[i]]:
            z_arr[i] += 1
        if i + z_arr[i] - 1 > r:
            l = i
            r = i + z_arr[i] - 1
    return z_arr"
9,"def z_array_alt(s):
    n = len(s)
    z = [0] * n
    l = r = 0
    for i in range(1, n):
        if i > r:
            k = 0
            while i + k < n and s[k] == s[i + k]:
                k += 1
            z[i] = k
            l = i
            r = i + k - 1
        else:
            k = i - l
            if z[k] < r - i + 1:
                z[i] = z[k]
            else:
                k = r - i + 1
                while i + k < n and s[k] == s[i + k]:
                    k += 1
                z[i] = k
                l = i
                r = i + k - 1
    return z"
10,"def z_array_compact(str_data):
    n = len(str_data)
    z_values = [0] * n
    left_pos = 0
    right_pos = 0
    for i in range(1, n):
        if i > right_pos:
            left_pos = right_pos = i
            while right_pos < n and str_data[right_pos - left_pos] == str_data[right_pos]:
                right_pos += 1
            z_values[i] = right_pos - left_pos
            right_pos -= 1
        else:
            k = i - left_pos
            if z_values[k] < right_pos - i + 1:
                z_values[i] = z_values[k]
            else:
                left_pos = i
                while right_pos < n and str_data[right_pos - left_pos] == str_data[right_pos]:
                    right_pos += 1
                z_values[i] = right_pos - left_pos
                right_pos -= 1
    return z_values"
