number,code,Type
1,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    var3.add(var2)
    for var4 in var1[var2]:
        if var4 not in var3:
            var0(var1, var4, var3)",DFS
2,"def var0(var1, var2):
    var3 = set()
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if var5 not in var3:
            var3.add(var5)
            var4.extend((var6 for var6 in var1[var5] if var6 not in var3))",DFS
3,"def var0(var1, var2):
    var3 = set()
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if var5 not in var3:
            var3.add(var5)
            yield var5
            yield from var0(var1, (var6 for var6 in var1[var5] if var6 not in var3))",DFS
4,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = [False] * len(var1)
    var3[var2] = True
    for var4 in range(len(var1)):
        if var1[var2][var4] == 1 and (not var3[var4]):
            var0(var1, var4, var3)",DFS
5,"def var0(var1, var2):
    var3 = [False] * len(var1)
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if not var3[var5]:
            var3[var5] = True
            for var6 in range(len(var1)):
                if var1[var5][var6] == 1 and (not var3[var6]):
                    var4.append(var6)",DFS
6,"from functools import reduce

def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    var3.add(var2)
    var4 = var1[var2]
    var5 = [var6 for var6 in var4 if var6 not in var3]
    return reduce(lambda var7, var6: var0(var1, var6, var7), var5, var3)",DFS
7,"def var0(var1, var2, var3=None):
    if not var1 or var2 not in var1:
        return
    if var3 is None:
        var3 = set()
    var3.add(var2)
    for var4 in var1[var2]:
        if var4 not in var3 and var4 in var1:
            var0(var1, var4, var3)",DFS
8,"def var0(var1, var2):
    if not var1 or var2 < 0 or var2 >= len(var1):
        return
    var3 = [False] * len(var1)
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if not var3[var5]:
            var3[var5] = True
            for var6 in range(len(var1)):
                if var1[var5][var6] == 1 and (not var3[var6]):
                    var4.append(var6)",DFS
9,"def var0(var1, var2):
    var3 = [False] * len(var1)
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if not var3[var5]:
            var3[var5] = True
            yield var5
            for var6 in range(len(var1)):
                if var1[var5][var6] == 1 and (not var3[var6]):
                    var4.append(var6)",DFS
10,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    var3.add(var2)
    for var4 in reversed(var1[var2]):
        if var4 not in var3:
            var0(var1, var4, var3)",DFS
11,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    var3.add(var2)
    for var4 in var1[var2]:
        if var4 not in var3:
            var0(var1, var4, var3)",DFS
12,"def var0(var1, var2):
    var3 = set()
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if var5 not in var3:
            var3.add(var5)
            var4.extend((var6 for var6 in var1[var5] if var6 not in var3))",DFS
13,"def var0(var1, var2):
    var3 = set()
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if var5 not in var3:
            var3.add(var5)
            yield var5
            var4.extend((var6 for var6 in var1[var5] if var6 not in var3))",DFS
14,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    if var2 in var3:
        return
    var3.add(var2)
    for var4 in var1[var2]:
        var0(var1, var4, var3)",DFS
15,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = [False] * len(var1)
    var3[var2] = True
    for var4 in range(len(var1)):
        if var1[var2][var4] == 1 and (not var3[var4]):
            var0(var1, var4, var3)",DFS
16,"def var0(var1, var2):
    var3 = len(var1)
    var4 = [False] * var3
    var5 = [var2]
    while var5:
        var6 = var5.pop()
        if not var4[var6]:
            var4[var6] = True
            for var7 in range(var3):
                if var1[var6][var7] == 1 and (not var4[var7]):
                    var5.append(var7)",DFS
17,"def var0(var1, var2):
    if not var1 or var2 not in var1:
        return []
    var3 = set()
    var4 = [var2]
    var5 = []
    while var4:
        var6 = var4.pop()
        if var6 not in var3:
            var3.add(var6)
            var5.append(var6)
            if var6 in var1:
                var4.extend((var7 for var7 in var1[var6] if var7 not in var3))
    return var5",DFS
18,"def var0(var1, var2):
    if not var1 or var2 < 0 or var2 >= len(var1):
        return []
    var3 = len(var1)
    var4 = [False] * var3
    var5 = [var2]
    var6 = []
    while var5:
        var7 = var5.pop()
        if not var4[var7]:
            var4[var7] = True
            var6.append(var7)
            for var8 in range(var3):
                if var1[var7][var8] == 1 and (not var4[var8]):
                    var5.append(var8)
    return var6",DFS
19,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = []
    if var2 in var3:
        return
    var3.append(var2)
    if var2 in var1:
        for var4 in var1[var2]:
            var0(var1, var4, var3)
    return var3",DFS
20,"def var0(var1, var2):
    var3 = len(var1)
    var4 = [False] * var3
    var5 = [var2]
    var6 = []
    while var5:
        var7 = var5.pop()
        if not var4[var7]:
            var4[var7] = True
            var6.append(var7)
            for var8 in range(var3):
                if var1[var7][var8] == 1 and (not var4[var8]):
                    var5.append(var8)
    return var6",DFS
21,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    var3.add(var2)
    for var4 in var1[var2]:
        if var4 not in var3:
            var0(var1, var4, var3)",DFS
22,"def var0(var1, var2):
    var3 = set()
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if var5 not in var3:
            var3.add(var5)
            var4.extend((var6 for var6 in var1[var5] if var6 not in var3))",DFS
23,"def var0(var1, var2):
    var3 = set()
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if var5 not in var3:
            var3.add(var5)
            yield var5
            var4.extend((var6 for var6 in var1[var5] if var6 not in var3))",DFS
24,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    var3.add(var2)
    var4 = [var5 for var5 in var1[var2] if var5 not in var3]
    return [var2] + sum([var0(var1, var5, var3) for var5 in var4], [])",DFS
25,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = [False] * len(var1)
    var3[var2] = True
    for var4 in range(len(var1)):
        if var1[var2][var4] == 1 and (not var3[var4]):
            var0(var1, var4, var3)",DFS
26,"def var0(var1, var2):
    var3 = [False] * len(var1)
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if not var3[var5]:
            var3[var5] = True
            for var6 in range(len(var1)):
                if var1[var5][var6] == 1 and (not var3[var6]):
                    var4.append(var6)",DFS
27,"def var0(var1, var2, var3=None):
    if not var1 or var2 not in var1:
        return
    if var3 is None:
        var3 = set()
    var3.add(var2)
    for var4 in var1[var2]:
        if var4 not in var3:
            var0(var1, var4, var3)",DFS
28,"def var0(var1, var2):
    if not var1 or var2 < 0 or var2 >= len(var1):
        return
    var3 = [False] * len(var1)
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if not var3[var5]:
            var3[var5] = True
            for var6 in range(len(var1)):
                if var1[var5][var6] == 1 and (not var3[var6]):
                    var4.append(var6)",DFS
29,"def var0(var1, var2):
    var3 = [False] * len(var1)
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if not var3[var5]:
            var3[var5] = True
            yield var5
            for var6 in range(len(var1)):
                if var1[var5][var6] == 1 and (not var3[var6]):
                    var4.append(var6)",DFS
30,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = [False] * len(var1)
    var3[var2] = True
    var4 = [var5 for var5 in range(len(var1)) if var1[var2][var5] == 1 and (not var3[var5])]
    return [var2] + sum([var0(var1, var6, var3) for var6 in var4], [])",DFS
31,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    var3.add(var2)
    for var4 in var1[var2]:
        if var4 not in var3:
            var0(var1, var4, var3)",DFS
32,"def var0(var1, var2):
    var3 = set()
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if var5 not in var3:
            var3.add(var5)
            var4.extend((var6 for var6 in var1[var5] if var6 not in var3))",DFS
33,"def var0(var1, var2):
    var3 = set()
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if var5 not in var3:
            var3.add(var5)
            yield var5
            var4.extend((var6 for var6 in var1[var5] if var6 not in var3))",DFS
34,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = set()
    var3.add(var2)
    var4 = [var5 for var5 in var1[var2] if var5 not in var3]
    return (var2, [var0(var1, var5, var3)[0] for var5 in var4])",DFS
35,"def var0(var1, var2, var3=None):
    if var3 is None:
        var3 = [False] * len(var1)
    var3[var2] = True
    for var4 in range(len(var1)):
        if var1[var2][var4] == 1 and (not var3[var4]):
            var0(var1, var4, var3)",DFS
36,"def var0(var1, var2):
    var3 = [False] * len(var1)
    var4 = [var2]
    while var4:
        var5 = var4.pop()
        if not var3[var5]:
            var3[var5] = True
            for var6 in range(len(var1)):
                if var1[var5][var6] == 1 and (not var3[var6]):
                    var4.append(var6)",DFS
37,"def var0(var1, var2, var3=None):
    if not var1 or var2 not in var1:
        return
    if var3 is None:
        var3 = set()
    var3.add(var2)
    for var4 in var1[var2]:
        if var4 not in var3:
            var0(var1, var4, var3)",DFS
