number,code,Type
1,"def var0(var1):
    var2 = len(var1)
    var3 = {}
    var4 = {}
    def var5(var6):
        if var6 >= var2:
            return (0, [])
        if var6 in var3:
            return var3[var6]
        var7, var8 = var5(var6 + 1)
        var9, var10 = var5(var6 + 2)
        if var7 + var1[var6] < var9 + var1[var6]:
            var3[var6] = (var7 + var1[var6], [var6 + 1] + var8)
            return var3[var6]
        else:
            var3[var6] = (var9 + var1[var6], [var6 + 2] + var10)
            return var3[var6]
    var11, var12 = var5(0)
    return (var11, [var13 + 1 for var13 in var12])",Grasshopper
2,"def var0(var1):
    var2 = len(var1)
    var3 = [0] * var2
    var4 = [[] for var5 in range(var2)]
    var3[0] = var1[0]
    var4[0] = [1]
    if var2 > 1:
        var3[1] = var1[1]
        var4[1] = [2]
        for var6 in range(2, var2):
            if var3[var6 - 1] + var1[var6] < var3[var6 - 2] + var1[var6]:
                var3[var6] = var3[var6 - 1] + var1[var6]
                var4[var6] = [var6 + 1] + var4[var6 - 1]
            else:
                var3[var6] = var3[var6 - 2] + var1[var6]
                var4[var6] = [var6 + 1] + var4[var6 - 2]
    return (var3[var2 - 1], var4[var2 - 1])",Grasshopper
3,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    var3 = [0, var1[0], var1[1]]
    var4 = [0, 1, 1]
    for var5 in range(2, var2):
        if var3[1] + var1[var5] < var3[2] + var1[var5]:
            var3[0] = var3[1] + var1[var5]
            var4[0] = 1
        else:
            var3[0] = var3[2] + var1[var5]
            var4[0] = 2
        var3[1] = var3[0]
        var3[2] = var3[1]
    var6 = []
    var7 = var2 - 1
    while var7 >= 0:
        var6.insert(0, var7 + 1)
        if var4[0] == 1:
            var7 -= 1
        else:
            var7 -= 2
    return (var3[0], var6)",Grasshopper
4,"def var0(var1):
    var2 = len(var1)
    for var3 in range(2, var2):
        if var1[var3 - 1] < var1[var3 - 2]:
            var1[var3] += var1[var3 - 1]
        else:
            var1[var3] += var1[var3 - 2]
    var4 = []
    var3 = var2 - 1
    while var3 >= 0:
        var4.insert(0, var3 + 1)
        if var3 > 1 and var1[var3 - 1] < var1[var3 - 2]:
            var3 -= 1
        else:
            var3 -= 2
    return (var1[var2 - 1], var4)",Grasshopper
5,"def var0(var1):
    var2 = len(var1)
    var3 = [float('inf')] * var2
    var4 = [None] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    for var5 in range(2, var2):
        if var3[var5 - 1] + var1[var5] < var3[var5 - 2] + var1[var5]:
            var3[var5] = var3[var5 - 1] + var1[var5]
            var4[var5] = var5 - 1
        else:
            var3[var5] = var3[var5 - 2] + var1[var5]
            var4[var5] = var5 - 2
    var6 = []
    var7 = var2 - 1
    while var7 is not None:
        var6.insert(0, var7 + 1)
        var7 = var4[var7]
    return (var3[var2 - 1], var6)",Grasshopper
6,"def var0(var1):
    def var2(var3):
        if var3 >= len(var1):
            yield (0, [])
        else:
            for var4 in [var3 + 1, var3 + 2]:
                for var5, var6 in var2(var4):
                    yield (var5 + var1[var3], [var3 + 1] + var6)
    var7 = float('inf')
    var8 = []
    for var5, var6 in var2(0):
        if var5 < var7:
            var7 = var5
            var8 = var6
    return (var7, var8)",Grasshopper
7,"from functools import reduce
def var0(var1):
    var2 = len(var1)
    var3 = reduce(lambda var4, var5: var4 + [min(var4[-1] + var1[var5], var4[-2] + var1[var5])], range(2, var2), [var1[0], var1[1]])
    var6 = []
    var5 = var2 - 1
    while var5 >= 0:
        var6.insert(0, var5 + 1)
        if var5 > 1 and var3[var5 - 1] < var3[var5 - 2]:
            var5 -= 1
        else:
            var5 -= 2
    return (var3[var2 - 1], var6)",Grasshopper
8,"import numpy as np
def var0(var1):
    var2 = len(var1)
    var3 = np.zeros(var2)
    var3[0] = var1[0]
    if var2 > 1:
        var3[1] = var1[1]
        for var4 in range(2, var2):
            var3[var4] = min(var3[var4 - 1], var3[var4 - 2]) + var1[var4]
    var5 = []
    var4 = var2 - 1
    while var4 >= 0:
        var5.insert(0, var4 + 1)
        if var4 > 1 and var3[var4 - 1] < var3[var4 - 2]:
            var4 -= 1
        else:
            var4 -= 2
    return (var3[var2 - 1], var5)",Grasshopper
9,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    var3 = [0] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    for var4 in range(2, var2):
        var3[var4] = min(var3[var4 - 1], var3[var4 - 2]) + var1[var4]
    var5 = []
    var4 = var2 - 1
    while var4 >= 0:
        var5.insert(0, var4 + 1)
        if var4 > 1 and var3[var4 - 1] < var3[var4 - 2]:
            var4 -= 1
        else:
            var4 -= 2
    return (var3[var2 - 1], var5)",Grasshopper
10,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (sum(var1), list(range(1, var2 + 1)))
    var3 = [0] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    for var4 in range(2, var2):
        var3[var4] = min(var3[var4 - 1] + var1[var4], var3[var4 - 2] + var1[var4])
    var5 = []
    var4 = var2 - 1
    while var4 >= 0:
        var5.insert(0, var4 + 1)
        if var4 > 1 and var3[var4 - 1] + var1[var4] < var3[var4 - 2] + var1[var4]:
            var4 -= 1
        else:
            var4 -= 2
    return (var3[var2 - 1], var5)",Grasshopper
11,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    var3 = {}
    var4 = {}
    def var5(var6):
        if var6 == var2 - 1:
            return (var1[var6], [var6 + 1])
        if var6 in var3:
            return var3[var6]
        var7, var8 = var5(var6 + 1)
        var9, var10 = var5(var6 + 2)
        if var7 < var9:
            var3[var6] = (var1[var6] + var7, [var6 + 1] + var8)
            var4[var6] = var6 + 1
        else:
            var3[var6] = (var1[var6] + var9, [var6 + 1] + var10)
            var4[var6] = var6 + 2
        return var3[var6]
    var11, var12 = var5(0)
    return (var11, var12)",Grasshopper
12,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    var3 = [0] * var2
    var4 = [0] * var2
    var3[0] = var1[0]
    var3[1] = var1[1]
    var4[1] = 1
    for var5 in range(2, var2):
        if var3[var5 - 1] < var3[var5 - 2]:
            var3[var5] = var1[var5] + var3[var5 - 1]
            var4[var5] = var5 - 1
        else:
            var3[var5] = var1[var5] + var3[var5 - 2]
            var4[var5] = var5 - 2
    var6 = [var2]
    var7 = var2 - 1
    while var7 != 0:
        var6.insert(0, var7 + 1)
        var7 = var4[var7]
    if len(var1) == 1:
        return (var1[0], [1])
    return (var3[var2 - 1], var6)",Grasshopper
13,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    var3 = var1[0]
    var4 = var1[1]
    for var5 in range(2, var2):
        var6 = var1[var5] + min(var4, var3)
        var3 = var4
        var4 = var6
    var7 = [var2]
    var6 = var2 - 1
    if var2 >= 3:
        while var6 != 0:
            if var6 == 0:
                break
            if var6 == 1:
                var7.insert(0, 1)
                break
            if var1[var6 - 1] + var3 < var1[var6 - 2] + var3:
                var7.insert(0, var6)
                var6 -= 1
            else:
                var7.insert(0, var6)
                var6 -= 2
    elif var2 == 2:
        var7 = [1, 2]
    elif var2 == 1:
        var7 = [1]
    return (var4, var7)",Grasshopper
14,"def var0(var1):
    var2 = len(var1)
    if var2 < 3:
        return (var1[-1], [1, var2])
    for var3 in range(2, var2):
        var1[var3] += min(var1[var3 - 1], var1[var3 - 2])
    var4 = [var2]
    var5 = var2 - 1
    while var5 != 0:
        var4.insert(0, var5 + 1)
        if var5 == 1:
            break
        if var1[var5 - 1] <= var1[var5 - 2]:
            var5 -= 1
        else:
            var5 -= 2
    return (var1[var2 - 1], var4)",Grasshopper
